name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bristol,2021-10-20,15.2,9.2,13.4,15.2,5.4,13.3,11.4,88.5,22.78,100,54.17,rain,0,0,52.8,31.6,226.8,998.1,70.1,9.9,77.6,6.7,3,,2021-10-20T07:43:01,2021-10-20T18:06:24,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-21,12,5.2,8.8,12,2.4,6.5,4,72.9,12.95,100,16.67,rain,0,0,51,34,294.2,1009.1,34.5,13.1,99.4,8.6,4,,2021-10-21T07:44:44,2021-10-21T18:04:21,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-22,12,5.8,9,12,2.7,7.3,5.6,79.4,0,0,0,,0,0,39.7,29.7,266.6,1021.7,64.2,14.6,76.2,6.5,4,,2021-10-22T07:46:28,2021-10-22T18:02:19,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-23,12.1,9,10.3,12.1,7.2,9.9,6.3,76.4,0,0,0,,0,0,36,20.7,188.7,1023.5,98.8,15.6,36.8,3.1,1,,2021-10-23T07:48:12,2021-10-23T18:00:18,0.54,Overcast,Cloudy skies throughout the day.,cloudy,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-24,13.1,10.1,11.7,13.1,10.1,11.7,9.3,85.5,0.9,100,12.5,rain,0,0,38.5,22.3,179,1015.8,76.2,13,32.1,2.8,1,,2021-10-24T07:49:57,2021-10-24T17:58:18,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-25,14,9.9,11.3,14,8.2,11.1,9.5,88.8,1.12,100,20.83,rain,0,0,36.4,26.9,229.2,1014.4,51.6,11.1,83.7,7.2,4,,2021-10-25T07:51:41,2021-10-25T17:56:20,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-26,15.7,9.8,12.4,15.7,7.8,11.9,11.1,91.7,1.16,100,8.33,rain,0,0,38.2,20.6,220,1017.3,83.1,12.6,38.4,3.3,2,,2021-10-26T07:53:26,2021-10-26T17:54:23,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03853099999,03743099999,03746099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-27,15,13.3,14.1,15,13.3,14.1,11.6,85.2,0.15,100,12.5,rain,0,0,52.6,24.7,202,1016.5,99.1,12.2,29.4,2.5,1,,2021-10-27T07:55:11,2021-10-27T17:52:27,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,C2888,EGGD"
bristol,2021-10-28,15,13.1,13.8,15,13.1,13.8,11.5,86.1,2.61,100,12.5,rain,0,0,54.2,33.3,172.6,1005.8,98.7,10.5,43.6,3.7,2,,2021-10-28T07:56:57,2021-10-28T17:50:32,0.74,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-10-29,14,10,11.9,14,10,11.9,9.6,86.1,10.76,100,50,rain,0,0,61.8,37.7,188,995.5,65.9,11.5,51.8,4.4,3,,2021-10-29T07:58:42,2021-10-29T17:48:39,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,C2888,EGGD"
